id,name,total_heat,total_area,total_nmhc,total_pm2.5,total_pm10,total_co,total_co2,total_ch4,total_nh3,total_so2,total_voc,total_nox
SF11E321722,,9754827078.989586,398.0472319,,17.054533,20.124349,168.202675,3864.679001,8.948945,2.82618,2.295803,40.626334,5.669227
SF11E317303,,1309259701.798695,199.023616,,3.556934,4.197182,35.080751,806.026662,1.866413,0.589435,0.478818,8.473125,1.182387
SF11E321692,,5852337475.903274,232.0195975,,16.110921,19.010887,162.765598,3451.365183,8.549591,2.724756,2.063074,39.16836,4.967578
SF11E321665,,22827592696.79539,569.6742743,,35.09733,41.414849,364.539126,7005.386483,18.871601,6.077222,4.222354,87.360068,9.82337
SF11E321635,,91017195115.7281,938.5433028,,91.919942,108.465532,906.573058,20829.715514,48.232717,15.232448,12.373838,218.966434,30.555805
SF11E321717,,46383566.905080006,28.94098222,,0.209512,0.247224,2.066336,47.476811,0.109936,0.034719,0.028203,0.499086,0.069645
SF11E321734,,77390185540.22612,1378.613276,,91.059924,107.45071,955.35343,17682.717563,49.198906,15.903055,10.693792,228.606412,24.528385
SF11E321656,,4303450060.053526,176.6309263,,12.170209,14.360847,120.030362,2757.856374,6.386016,2.016778,1.638297,28.991177,4.045592
SF11E321647,,7695094848.250975,187.7086606,,21.335646,25.176063,210.425743,4834.809871,11.195353,3.535621,2.872106,50.824558,7.092344
SF11E321737,,4596428416.780922,176.6309263,,12.999025,15.33885,128.204673,2945.671992,6.820917,2.154124,1.749869,30.965535,4.321105
SF11E321713,,546664472.0031539,193.5230502,,2.503196,2.953771,27.803572,406.627429,1.39061,0.459055,0.251862,6.598912,0.519728
SF11E321648,,85198.44396,1.991669371,,0.007962,0.009395,0.085886,1.424704,0.00436,0.001424,0.000871,0.020469,0.001909
SF11E321652,,5080178972.12556,366.1706378,,10.745046,12.679154,109.844399,2235.394782,5.733992,1.83556,1.340732,26.386177,3.183818
SF11E321672,,368119558.519352,28.94098222,,1.662936,1.962265,16.400936,376.833214,0.872585,0.275572,0.223857,3.961352,0.552789
SF11E321687,,1113964.3963400002,1.991669371,,0.073119,0.08628,0.721145,16.569269,0.038367,0.012117,0.009843,0.17418,0.024306
SF11E321683,,6695301310.029557,373.0797042,,18.898514,22.300246,206.82252,3229.116394,10.42233,3.421906,1.98584,49.189904,4.233408
SF11E321671,,70680161.01193899,87.32457059,,1.083994,1.279113,13.460758,102.850544,0.63736,0.218963,0.07026,3.147596,0.082627
SF11E320085,,2467838176.982872,349.20932441,,18.016028,21.258913,214.969323,2160.42943,10.376380000000001,3.514941,1.406729,50.527285000000006,2.250509
SF11E321718,,4481509817.071589,177.9702375,,16.627747,19.620741,176.284948,3134.288591,9.029261,2.929994,1.902575,42.118667,4.294922
SF11E321680,,3199803458.3374124,246.9966546,,10.652727,12.570217,113.771895,1965.055432,5.805309,1.888961,1.196141,27.153816,2.668037
