fire_id,hour,ignition_date_time,date_time,area_fract,flame_profile,smolder_profile,residual_profile,PM2.5_emitted,PM10_emitted,CO_emitted,CO2_emitted,CH4_emitted,NOx_emitted,NH3_emitted,SO2_emitted,VOC_emitted,PM2.5_flame,PM10_flame,CO_flame,CO2_flame,CH4_flame,NOx_flame,NH3_flame,SO2_flame,VOC_flame,PM2.5_smold,PM10_smold,CO_smold,CO2_smold,CH4_smold,NOx_smold,NH3_smold,SO2_smold,VOC_smold,PM2.5_resid,PM10_resid,CO_resid,CO2_resid,CH4_resid,NOx_resid,NH3_resid,SO2_resid,VOC_resid,smoldering_fraction,heat,height_0,height_1,height_2,height_3,height_4,height_5,height_6,height_7,height_8,height_9,height_10,height_11,height_12,height_13,height_14,height_15,height_16,height_17,height_18,height_19,height_20
SF11C4761081644715180,0,,2019-05-25T00:00:00-0900,0.005701,0.005698,0.004755,0.000329,0.184536905997,0.21775354658499999,1.9418217086949998,35.538035730547,0.099846215918,0.049130670694999996,0.032309975149999996,0.021514184485,0.464455864522,0.14057871412200001,0.16588288255,1.3864768756299999,31.856140730722,0.073765202588,0.046730836459999994,0.023295902629999997,0.01892405515,0.334878576802,0.043958191875,0.05187066403499999,0.5553448330649999,3.6818949998249995,0.02608101333,0.0023998342349999995,0.00901407252,0.002590129335,0.12957728772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707464,109091402.92691995,30.67503,37.09063845,43.5062469,49.92185535,56.3374638,62.75307225,69.16868070000001,75.58428915,81.9998976,88.41550605,94.83111450000001,101.24672294999999,107.6623314,114.07793985,120.49354830000001,126.90915675,133.3247652,139.74037365,146.15598210000002,152.57159055,158.987199
SF11C4761081644715180,1,,2019-05-25T01:00:00-0900,0.005701,0.005701,0.004171,0.000595,0.179212059764,0.211470228322,1.8743452999080001,35.102604707854006,0.096681833192,0.048860531457,0.031215149318999998,0.021206033282000002,0.448717743773,0.14065272888900002,0.165970219975,1.387206856435,31.872913005589005,0.073804040006,0.04675544027,0.023308167935,0.018934018675,0.335054890549,0.038559330875,0.045500008347,0.48713844347300006,3.229691702265,0.022877793186,0.002105091187,0.007906981384,0.0022720146070000003,0.11366285322400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707464,109091402.92691995,30.67503,37.6519117,44.6287934,51.6056751,58.5825568,65.5594385,72.5363202,79.5132019,86.49008359999999,93.4669653,100.443847,107.42072869999998,114.39761039999999,121.3744921,128.3513738,135.32825549999998,142.3051372,149.2820189,156.2589006,163.23578229999998,170.212664
SF11C4761081644715180,2,,2019-05-25T02:00:00-0900,0.005701,0.005701,0.003537,0.000798,0.17335096751400003,0.204554139784,1.800299322166,34.611685374544,0.093204364748,0.048540553559,0.030013272983,0.020860682704000003,0.43144077207700005,0.14065272888900002,0.165970219975,1.387206856435,31.872913005589005,0.073804040006,0.04675544027,0.023308167935,0.018934018675,0.335054890549,0.032698238625,0.038583919809,0.41309246573100006,2.738772368955,0.019400324742,0.001785113289,0.006705105048000001,0.0019266640290000001,0.09638588152800001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.804976,109091402.92691995,30.67503,35.79714405,40.9192581,46.04137215,51.1634862,56.28560025,61.4077143,66.52982835,71.6519424,76.77405645,81.89617050000001,87.01828455,92.1403986,97.26251264999999,102.38462670000001,107.50674075,112.6288548,117.75096884999999,122.87308290000001,127.99519695000001,133.117311
SF11C4761081644715180,3,,2019-05-25T03:00:00-0900,0.005701,0.005701,0.003005,0.000951,0.168432827014,0.19875073426,1.7381661042499998,34.199746754164,0.090286362836,0.048272054754999995,0.029004758454999998,0.02057089326,0.416943376269,0.14065272888900002,0.165970219975,1.387206856435,31.872913005589005,0.073804040006,0.04675544027,0.023308167935,0.018934018675,0.335054890549,0.027780098124999996,0.032780514285,0.350959247815,2.326833748575,0.01648232283,0.0015166144849999997,0.00569659052,0.001636874585,0.08188848572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.853732,109091402.92691995,30.67503,34.7301228,38.7852156,42.8403084,46.895401199999995,50.950494,55.005586799999996,59.0606796,63.1157724,67.1708652,71.22595799999999,75.2810508,79.33614359999999,83.3912364,87.4463292,91.50142199999999,95.5565148,99.61160759999999,103.6667004,107.72179320000001,111.77688599999999
SF11C4761081644715180,4,,2019-05-25T04:00:00-0900,0.005701,0.005701,0.002683,0.00107,0.16545605776400002,0.195238146706,1.700559156564,33.95041548393401,0.088520203784,0.048109542320999996,0.028394341766999998,0.020395494386,0.408168636701,0.14065272888900002,0.165970219975,1.387206856435,31.872913005589005,0.073804040006,0.04675544027,0.023308167935,0.018934018675,0.335054890549,0.024803328875,0.029267926731,0.313352300129,2.077502478345,0.014716163778,0.0013541020509999998,0.005086173832,0.001461475711,0.073113746152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882986,109091402.92691995,30.67503,34.0235554,37.3720808,40.7206062,44.0691316,47.417657,50.7661824,54.1147078,57.4632332,60.8117586,64.16028399999999,67.50880939999999,70.85733479999999,74.20586019999999,77.55438559999999,80.90291099999999,84.25143639999999,87.59996179999999,90.94848719999999,94.29701259999999,97.64553799999999
SF11C4761081644715180,5,,2019-05-25T05:00:00-0900,0.005701,0.005701,0.002487,0.001168,0.16364411126400003,0.19310004993399998,1.677667971016,33.79864862379401,0.087445150448,0.048010621708999994,0.028022783783,0.020288729854,0.402827490877,0.14065272888900002,0.165970219975,1.387206856435,31.872913005589005,0.073804040006,0.04675544027,0.023308167935,0.018934018675,0.335054890549,0.022991382374999998,0.027129829959,0.290461114581,1.9257356182049998,0.013641110442,0.001255181439,0.004714615848,0.0013547111790000001,0.067772600328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902488,109091402.92691995,30.67503,33.5142614,36.3534928,39.1927242,42.0319556,44.871187,47.7104184,50.5496498,53.3888812,56.2281126,59.067344,61.9065754,64.7458068,67.5850382,70.4242696,73.26350099999999,76.10273240000001,78.9419638,81.7811952,84.6204266,87.45965799999999
SF11C4761081644715180,6,,2019-05-25T06:00:00-0900,0.005701,0.005701,0.002369,0.001251,0.16255324551400002,0.191812828408,1.663886542982,33.70727877942401,0.08679792446,0.047951067463,0.027799090711,0.020224453248000002,0.399611903085,0.14065272888900002,0.165970219975,1.387206856435,31.872913005589005,0.073804040006,0.04675544027,0.023308167935,0.018934018675,0.335054890549,0.021900516624999998,0.025842608433,0.276679686547,1.8343657738349999,0.012993884454,0.001195627193,0.004490922776,0.0012904345730000001,0.064557012536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916418,109091402.92691995,30.67503,33.1260911,35.5771522,38.0282133,40.4792744,42.9303355,45.3813966,47.8324577,50.283518799999996,52.7345799,55.185641000000004,57.6367021,60.0877632,62.5388243,64.98988539999999,67.4409465,69.8920076,72.3430687,74.79412980000001,77.2451909,79.696252
SF11C4761081644715180,7,,2019-05-25T07:00:00-0900,0.005701,0.005701,0.002297,0.001324,0.161887632514,0.19102740510400001,1.655477536046,33.651527687944004,0.086403006908,0.047914729279,0.027662600023,0.020185233624,0.397649849517,0.14065272888900002,0.165970219975,1.387206856435,31.872913005589005,0.073804040006,0.04675544027,0.023308167935,0.018934018675,0.335054890549,0.021234903625,0.025057185129,0.268270679611,1.778614682355,0.012598966902,0.001159289009,0.004354432088,0.001251214949,0.062594958968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.926866,109091402.92691995,30.67503,32.8182457,34.9614614,37.104677099999996,39.2478928,41.3911085,43.5343242,45.6775399,47.8207556,49.9639713,52.107186999999996,54.250402699999995,56.393618399999994,58.53683409999999,60.6800498,62.8232655,64.9664812,67.10969689999999,69.2529126,71.39612829999999,73.539344
SF11C4761081644715180,8,,2019-05-25T08:00:00-0900,0.005701,0.005701,0.002186,0.001383,0.160861479139,0.189816544177,1.642513650353,33.565578088579,0.085794175682,0.047858707912,0.027452176879,0.020124770037,0.394625016933,0.14065272888900002,0.165970219975,1.387206856435,31.872913005589005,0.073804040006,0.04675544027,0.023308167935,0.018934018675,0.335054890549,0.020208750249999997,0.023846324202,0.255306793918,1.6926650829899998,0.011990135676,0.0011032676419999998,0.004144008944,0.001190751362,0.059570126384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934992,109091402.92691995,30.67503,32.5658709,34.4567118,36.3475527,38.2383936,40.1292345,42.020075399999996,43.9109163,45.8017572,47.6925981,49.583439,51.4742799,53.3651208,55.2559617,57.1468026,59.0376435,60.9284844,62.8193253,64.7101662,66.6010071,68.491848
SF11C4761081644715180,9,,2019-05-25T09:00:00-0900,0.005701,0.005701,0.00287,0.001486,0.167184802639,0.197278065565,1.722399216245,34.095213457639005,0.089545892426,0.048203920659999996,0.028748838415,0.020497356465,0.41326452582900003,0.14065272888900002,0.165970219975,1.387206856435,31.872913005589005,0.073804040006,0.04675544027,0.023308167935,0.018934018675,0.335054890549,0.02653207375,0.03130784559,0.33519235981,2.22230045205,0.01574185242,0.00144848039,0.0054406704800000006,0.00156333779,0.07820963528000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941493,109091402.92691995,30.67503,32.3647634,34.054496799999995,35.7442302,37.4339636,39.123697,40.8134304,42.503163799999996,44.1928972,45.8826306,47.57236399999999,49.262097399999995,50.951830799999996,52.6415642,54.3312976,56.021030999999994,57.710764399999995,59.4004978,61.09023119999999,62.77996459999999,64.469698
