id,name,total_heat,total_area,total_nmhc,total_pm2.5,total_pm10,total_co,total_co2,total_ch4,total_nh3,total_so2,total_voc,total_nox
SF11E318942,,90126788.60782899,41.80528836,,1.15065,1.357768,13.976957,125.235245,0.668841,0.228004,0.083091,3.277557,0.118944
SF11E318980,,535034051.144582,56.35732424,,3.406846,4.020078,38.749294,506.573455,1.915111,0.637676,0.317961,9.166592,0.616239
SF11E318931,,,20.58140718,,,,,,,,,,
SF11E318949,,5656143.053135999,20.90264418,,0.192944,0.227674,2.410137,17.574181,0.113798,0.039176,0.012118,0.563152,0.013282
SF11E319508,,4514702.297688999,20.964420525,,0.098465,0.116188,1.120833,14.594348,0.055372000000000005,0.018443,0.009165,0.265117,0.017719
SF11E319663,,23630230.917329997,34.94070087,,0.150599,0.177706,1.668257,24.694527,0.083552,0.027554,0.015275,0.396094,0.031717
SF11E319602,,49742691.09815399,62.89326157,,0.279903,0.330286,3.133397,44.207973,0.156101,0.051678,0.027495,0.74287,0.055664
SF11E319683,,3993988.840452,13.97628035,,0.059191,0.069845,0.651791,9.90659,0.032742,0.010775,0.00611,0.154884,0.012856
SF11E319517,,3845994.907522999,13.97628035,,0.061665,0.072765,0.688385,9.838722,0.034343,0.011358,0.00611,0.163267,0.012456
SF11E319531,,8451991.767966002,20.96442052,,0.094765,0.111822,1.066114,14.695865,0.05298,0.017571,0.009165,0.252582,0.018318
SF11E319675,,36273313.476736,34.94070087,,0.206126,0.243229,2.235099,36.288175,0.113164,0.037029,0.022226,0.532286,0.048251
SF11E319546,,3226849.53222,13.97628035,,0.072353,0.085376,0.846465,9.545443,0.041255,0.013877,0.00611,0.199478,0.010728
SF11E319609,,53839152.620796,69.88140175,,0.329254,0.38852,3.741325,49.142996,0.184997,0.061577,0.030827,0.88517,0.059917
SF11E319667,,241978153.807036,67.70934545,,0.834439,0.984639,8.422814,179.13788,0.44263,0.14102,0.107055,2.027158,0.258027
SF11E319598,,27553368.073714,41.92884105,,0.201174,0.237386,2.304462,29.072116,0.113491,0.037886,0.01833,0.544618,0.034753
SF11E319653,,717417968.1316649,263.9530259,,1.690047,1.994256,16.668322,382.976743,0.88681,0.280065,0.227506,4.025934,0.561801
SF11E319532,,6411849781.381438,563.1111554,,9.466475,11.17044,97.044043,1955.470505,5.058383,1.620981,1.173814,23.301599,2.777876
SF11E319524,,940671591.686801,107.466130175,,2.889581,3.409706,28.579293,650.654664,1.518227,0.479986,0.38678599999999996,6.899807,0.9524859999999999
SF11E319687,,11768359320.675661,560.9390991,,15.241725,17.985235,150.323602,3453.883656,7.997718,2.525771,2.051771,36.307965,5.066617
SF11E319643,,183476081.46252903,168.1873355,,1.046034,1.23432,11.934399,153.637664,0.588926,0.196315,0.096619,2.822024,0.185514
SF11E319593,,499421494.158736,53.7330651,,1.756763,2.072981,17.613927,383.267706,0.928937,0.295205,0.228631,4.243569,0.555141
SF11E318126,,112542550.51892701,74.22057224,,0.354275,0.418044,3.494084,80.281213,0.185897,0.058708,0.047691,0.843933,0.117767
SF11E319625,,136458938.47092098,143.7955633,,0.57322,0.6764,6.17699,102.905789,0.313742,0.102425,0.062863,1.472357,0.138056
SF11E319614,,3280080408.9187827,143.7955633,,9.707946,11.455376,95.745947,2199.889808,5.094004,1.608745,1.306839,23.125713,3.227092
SF11E319575,,81919722.96090002,49.70524739,,0.278902,0.329104,2.750709,63.20119,0.146347,0.046218,0.037545,0.664384,0.092712
SF11E310708,,1584680503.0875332,397.6419791,,2.772646,3.271722,27.345598,628.301292,1.454877,0.459467,0.373241,6.604838,0.921676
SF11E319615,,1067301046.915343,72.34751345,,3.372556,3.979616,33.262292,764.245173,1.769665,0.558881,0.453998,8.033909,1.121097
SF11E319590,,3227035921.38257,187.7086606,,8.944878,10.554957,88.220092,2026.973338,4.693604,1.482294,1.204118,21.307978,2.973435
SF11E319557,,76323043683.13837,2235.075584,,110.854989,130.808887,1224.653654,18349.878524,61.419358,20.235153,11.335131,290.880318,23.681964
SF11E319535,,66189398504.46767,945.0915954,,72.316377,85.333325,730.460063,15499.137976,38.372735,12.22852,9.264218,175.784978,22.311648
SF11E319662,,6863040478.407768,560.7883648,,18.056165,21.306274,206.827939,2609.65477,10.186112,3.400364,1.64535,48.880236,3.119856
SF11E319523,,1437900776.1858432,93.48984985,,4.376527,5.164301,43.164095,991.752196,2.296474,0.725253,0.589148,10.425512,1.454834
SF11E319694,,636742755.3167279,46.74492492,,2.205083,2.601998,21.747935,499.687589,1.157063,0.365414,0.296838,5.252823,0.733008
SF11E319513,,316816538.219912,255.7713667,,2.178772,2.57095,25.960823,263.155311,1.253965,0.424561,0.171121,6.103069,0.275829
SF11E319613,,1601607048.8133745,402.5025419,,2.962861,3.496176,29.798726,641.653507,1.568974,0.499183,0.383082,7.175759,0.927043
SF11E319553,,9970744512.512463,990.3588302,,9.931567,11.719249,97.951443,2250.563997,5.211344,1.645803,1.336942,23.658411,3.301427
SF11E319607,,1161242468.041469,405.7890435,,2.31393,2.730437,23.792011,474.316501,1.238202,0.397233,0.284977,5.710227,0.671875
SF11E319521,,31490126650.128925,1419.015006,,40.10081,47.318956,428.862716,7367.132833,21.867769,7.11903,4.486788,102.336058,9.985007
