id,name,total_heat,total_area,total_nmhc,total_pm2.5,total_pm10,total_co,total_co2,total_ch4,total_nh3,total_so2,total_voc,total_nox
SF11E331271,,3769905.2668310003,13.14600627,,0.051543,0.060821,0.551968,9.431465,0.028126,0.009161,0.005747,0.131686,0.012761
SF11E331276,,191876680.407797,140.2273616,,0.781661,0.922359,8.365012,143.321874,0.42639,0.138844,0.087309,1.995887,0.194085
SF11E331273,,105302070.566871,100.5372953,,0.338345,0.399248,3.395362,73.661601,0.178984,0.056898,0.043952,0.817905,0.106618
SF11E329252,,3195377128.322024,171.4861923,,9.121495,10.763364,89.961993,2066.995815,4.786279,1.511562,1.227893,21.728703,3.032145
SF11E331183,,1147260.361154,3.632449101,,0.041288,0.04872,0.407206,9.356098,0.021665,0.006842,0.005558,0.098353,0.013725
SF11E331303,,5993850.049704,8.302740802,,0.094372,0.111359,0.930757,21.385367,0.049519,0.015639,0.012704,0.224808,0.031371
SF11E330646,,2317508667.919658,214.6233787,,7.979777,9.416137,84.413652,1513.797147,4.328584,1.403473,0.918162,20.174929,2.079892
SF11E331206,,464339264.1744681,313.969626,,1.089801,1.285965,11.094108,229.129291,0.580406,0.185506,0.137258,2.666647,0.327597
SF11E331295,,1703424608.392051,143.7955633,,5.04094,5.948309,49.716959,1142.312907,2.645108,0.835356,0.678588,12.008238,1.675697
SF11E331317,,1658560750.244688,143.7955633,,4.908143,5.791608,48.407231,1112.220185,2.575427,0.813349,0.660712,11.691897,1.631553
SF11E331228,,2283674957.6083155,247.700905,,5.583336,6.588336,55.066414,1265.223719,2.929717,0.925238,0.751603,13.300303,1.855999
SF11E331224,,4101583073.991436,158.3006492,,11.927029,14.073894,117.63196,2702.749927,6.258413,1.976479,1.605562,28.411887,3.964754
SF11E329226,,3583890.4974260004,13.97628035,,0.066121,0.078023,0.754292,9.716448,0.037224,0.012408,0.00611,0.178364,0.011736
SF11E331280,,8312179.972809001,20.96442052,,0.096348,0.113691,1.08953,14.652422,0.054004,0.017944,0.009165,0.257946,0.018062
SF11E331189,,1073308.2740709998,6.573003135,,0.021346,0.025188,0.210528,4.837169,0.011201,0.003537,0.002874,0.050849,0.007096
SF11E329335,,112015927.31894301,55.9051214,,0.368989,0.435407,3.639202,83.615474,0.193618,0.061147,0.049672,0.878984,0.122658
SF11E331319,,190597169.938241,55.65307391,,0.628637,0.741791,6.200016,142.453572,0.329862,0.104174,0.084624,1.497502,0.20897
SF11E331192,,6137868.850799001,17.68286106,,0.07827,0.092358,0.874662,12.441113,0.043613,0.014429,0.00773,0.207416,0.015719
SF11E331220,,43906.19030999999,1.32942695,,0.004317,0.005094,0.042581,0.978345,0.002265,0.000715,0.000581,0.010285,0.001435
SF11E331195,,37461562.79260499,20.756852,,0.23593,0.278397,2.326892,53.463418,0.123798,0.039097,0.03176,0.562019,0.078427
SF11E331180,,5993850.049704,8.302740802,,0.094372,0.111359,0.930757,21.385367,0.049519,0.015639,0.012704,0.224808,0.031371
SF11E331257,,212592217.26397207,127.5113187,,2.622405,3.094438,32.172409,269.022839,1.532204,0.524152,0.180681,7.534679,0.239191
SF11E331204,,318447449.090472,324.6594048,,3.506433,4.137591,43.73447,322.770605,2.066456,0.711021,0.222014,10.22093,0.247977
SF11E331289,,306129357.115871,191.2669781,,3.671672,4.332573,45.209023,368.213052,2.14932,0.736201,0.248496,10.582885,0.318461
SF11E331244,,1934236260.2560356,495.1794151,,9.170106,10.820725,110.654767,1035.931404,5.312143,1.806646,0.682257,25.97054,1.021572
