Report Type : MultiStation,,,,,,,,,,,,,,,,,,,,,
Date,Time,Buick Creek Elementary School,Chetwynd Airport Westgate Road,Dawson Creek Northern Lights College,Fort Nelson Chalo School_60,Fort St John 85th Avenue_60,Fort St John Hospital,Fort St John Key Learning Centre,Fort St John Old Fort_60,Hudsons Hope Dudley Drive,Mackenzie,Peace Valley Attachie Flat Upper Terrace_60,Prince George Denicola Ranch_60,Prince George Exploration Place Trailer_60,Prince George Gladstone School,Prince George Hwy 16/97 MAML,Prince George Plaza 400,Prince George Plaza 400 URG,Taylor Lone Wolf Golf Course,Taylor Willow Drive,Tumbler Ridge Lions Flatbed Creek Campground
,,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25
,,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
5/29/2019,1:00 AM,,,,,13.7,,17,17.4,,,10.8,,,,,17.9,,,,
5/29/2019,2:00 AM,,,,,14.5,,19.3,16.7,,,12,,,,,15.1,,,,
5/29/2019,3:00 AM,,,,,15.4,,18.9,16.8,,,13.4,,,,,16.5,,,,
5/29/2019,4:00 AM,,,,,15.4,,17.6,16.6,,,13.7,,,,,21.6,,,,
5/29/2019,5:00 AM,,,,,15.9,,17.2,15.1,,,13.3,,,,,17.3,,,,
5/29/2019,6:00 AM,,,,,17,,16.5,12.2,,,14.3,,,,,18.3,,,,
5/29/2019,7:00 AM,,,,,16.5,,15.5,9.8,,,13.3,,,,,19.5,,,,
5/29/2019,8:00 AM,,,,,15.1,,15.1,7.1,,,12.2,,,,,14.3,,,,
5/29/2019,9:00 AM,,,,,14.6,,15.8,4.9,,,11.3,,,,,8.3,,,,
5/29/2019,10:00 AM,,,,,21.6,,27,8.8,,,14.8,,,,,5.8,,,,
5/29/2019,11:00 AM,,,,,19.6,,15.1,15.1,,,22.3,,,,,5,,,,
5/29/2019,12:00 PM,,,,,23.6,,19.5,18.3,,,28.2,,,,,4.7,,,,
5/29/2019,1:00 PM,,,,,28.1,,28.4,24.3,,,14.7,,,,,4,,,,
5/29/2019,2:00 PM,,,,,17.9,,17.5,17.2,,,3.9,,,,,3.3,,,,
5/29/2019,3:00 PM,,,,,8.5,,8.7,7.2,,,2.9,,,,,3.5,,,,
5/29/2019,4:00 PM,,,,,7.6,,7.1,5,,,2.1,,,,,3.4,,,,
5/29/2019,5:00 PM,,,,,5.4,,6.6,4.2,,,1.3,,,,,3.5,,,,
5/29/2019,6:00 PM,,,,,4.5,,5.1,3.4,,,0.9,,,,,3.6,,,,
5/29/2019,7:00 PM,,,,,3.3,,4.3,2.8,,,1,,,,,3.6,,,,
5/29/2019,8:00 PM,,,,,3.6,,4.2,5.4,,,1.9,,,,,3.5,,,,
5/29/2019,9:00 PM,,,,,11,,6.4,5.7,,,4.4,,,,,5.8,,,,
5/29/2019,10:00 PM,,,,,5.2,,5.3,4.8,,,2.6,,,,,7.1,,,,
5/29/2019,11:00 PM,,,,,4.5,,4.5,4,,,1,,,,,8.5,,,,
5/29/2019,24:00 AM,,,,,3.4,,3.2,3.4,,,0.1,,,,,8.4,,,,
Minimum,,,,,,3.3,,3.2,2.8,,,0.1,,,,,3.3,,,,
MinTime,,1:00,1:00,1:00,1:00,7:00,1:00,,7:00,1:00,1:00,,1:00,1:00,1:00,1:00,2:00,1:00,1:00,1:00,1:00
Maximum,,,,,,28.1,,28.4,24.3,,,28.2,,,,,21.6,,,,
MaxTime,,1:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00,12:00,1:00,1:00,1:00,1:00,4:00,1:00,1:00,1:00,1:00
Avg,,,,,,12.7,,13.2,10.3,,,9,,,,,9.3,,,,
Num,,0,0,0,0,24,0,24,24,0,0,24,0,0,0,0,24,0,0,0,0
Data[%],,0,0,0,0,100,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0
STD,,,,,,6.9,,7.2,6.2,,,7.4,,,,,6.2,,,,
