id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
SF11C48309211812875810,SF11E328867,53.357,-103.821,-6.0,,WF,20190530,,,,1498461.908242,0.047186,0.055679,0.465378,10.692684,0.02476,0.007819,0.006352,0.112404,0.015685,10.169264074403095,6.481590779274196,,,4.151370401,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,21.0,5.0,8.0,SK,,
SF11C48309311812875810,SF11E328746,53.418,-104.848,-6.0,,WF,20190530,,,,13486157.167714,0.141558,0.167038,1.396135,32.078051,0.074279,0.023458,0.019056,0.337211,0.047056,29.785020774176346,19.444772333138644,,,12.4541112,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,21.0,5.0,8.0,SK,,
SF11C48309411812875810,SF11E328890,52.146,-103.835,-6.0,,WF,20190530,,,,1498461.908242,0.047186,0.055679,0.465378,10.692684,0.02476,0.007819,0.006352,0.112404,0.015685,10.868905500155595,6.481590779274196,,,4.151370401,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,21.0,5.0,8.0,SK,,
SF11C48309511812875810,SF11E328122,47.059,-97.556,-5.0,,WF,20190530,,,,3857710.037354,0.061468,0.072532,0.685469,9.844108,0.034215,0.011311,0.00611,0.162599,0.012488,14.843478384904504,4.5153219101591455,1.7193511211346073,,13.97628035,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,ND,,
SF11C48309611812875810,SF11E328880,45.215,-97.214,-5.0,,WF,20190530,,,,111320792.149833,0.337027,0.397692,3.323975,76.372723,0.176847,0.05585,0.045369,0.802846,0.112034,92.58974466939496,46.29487233469748,,,103.7793179,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,SD,,
SF11C48309711812875810,SF11E328859,46.482,-96.404,-5.0,,WF,20190530,,,,1073308.2740709998,0.021346,0.025188,0.210528,4.837169,0.011201,0.003537,0.002874,0.050849,0.007096,5.864296415661666,2.932148207830833,,,6.573003135,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,MN,,
SF11C48309811812875810,SF11E328883,34.796,-79.04,-4.0,,WF,20190530,,,,297014.6871229999,0.021554,0.025434,0.212579,4.884289,0.01131,0.003572,0.002901,0.051345,0.007165,4.398792031879532,2.960712425301065,,,1.801398227,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,NC,,
SF11C48309911812875810,SF11E328767,26.65,-80.47,-4.0,,WF,20190530,,,,1601909.5710780004,0.037352,0.044076,0.410963,6.269476,0.020653,0.006794,0.003865,0.097668,0.008148,9.094473325956073,3.020285506120059,0.9237845264989973,,8.841430532,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,FL,,
SF11C48310011812875810,SF11E328850,45.035,-97.02,-5.0,,WF,20190530,,,,111320792.149833,0.337027,0.397692,3.323975,76.372723,0.176847,0.05585,0.045369,0.802846,0.112034,92.58974466939496,46.29487233469748,,,103.7793179,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,SD,,
SF11C48310111812875810,SF11E328913,31.375,-98.44,-5.0,,WF,20190530,,,,219167562.961144,0.693105,0.817863,6.83584,157.062465,0.36369,0.114857,0.093303,1.651074,0.2304,134.81566433623325,95.20665523272,,,71.89778166,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,6.0,20.0,5.0,8.0,TX,,
