id,event_id,latitude,longitude,type,area,date_time,elevation,slope,state,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,canopy,event_url,fccs_number,sf_cffeps_hourly_area,sf_cffeps_hourly_heat,sf_event_guid,sf_server,sf_stream_name,timezone,veg
SF11C46837212282050750,SF11E314711,64.01,-146.103,WF,543.0832643,2019-05-17T00:00:00.000-09:00,0,10,Unknown,2240,2810001000,0.2,0.3,1.0,1.0,0.0,0.0,0.32,0.03,1.0,35.0,0.01,7,8,9,12,80,40,4.605659585,1.350640012,0,10.10175431,6,6,6,6,40,80,13,30,4,14,3,22,5,8,14656660328.0,30.408846,35.882444,333.715002,5148.15328,16.79306,6.719052,5.519194,3.170061,79.338357,0.56,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,88.0,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Black spruce / sphagnum moss forest
SF11C46842312282050750,SF11E314711,63.953,-146.056,WF,135.0628591,2019-05-17T00:00:00.000-09:00,0,10,Unknown,2240,2810001000,0.2,0.3,1.0,1.0,0.0,0.0,0.32,0.03,1.0,35.0,0.01,7,8,9,12,80,40,7.540177621,1.108830205,0,9.920898437,6,6,6,6,40,80,13,30,4,14,3,22,5,8,2573915057.0,9.90475,11.687604,104.588667,1888.676032,5.368111,2.600497,1.739361,1.144795,25.00334,0.56,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,88.0,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Black spruce / sphagnum moss forest
SF11C46880012282050980,SF11E317855,36.164,-83.395,WF,57.88196445,2019-05-18T00:00:00.000-04:00,0,10,TN,47063,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7,8,9,12,80,40,3.405777962,0.0,0,0.44608958,6,6,6,6,40,80,13,30,4,14,5,20,5,8,439968830.1,1.435128,1.693445,14.15413,325.209857,0.753045,0.477065,0.237824,0.193186,3.418677,0.0,http://tomcat-sf/smartfire/events/151fb844-6967-47ea-8e0e-5707e465479f,0.0,[],[],151fb844-6967-47ea-8e0e-5707e465479f,tomcat-sf,CWFIS-Hotspots,-5,Urban
SF11C46880112282050980,SF11E317785,34.966,-78.031,WF,216.4198348,2019-05-18T00:00:00.000-04:00,0,10,NC,37061,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7,8,9,12,80,40,1.824522389,0.059003876,0,0.606565846,6,6,6,6,40,80,13,30,4,14,5,19,5,8,1098201243.0,3.086976,3.642635,31.034242,669.192862,1.634382,0.967166,0.519918,0.399473,7.473754,0.0,http://tomcat-sf/smartfire/events/5d8da9df-24ef-4b67-bb72-e7e84b8302af,0.0,[],[],5d8da9df-24ef-4b67-bb72-e7e84b8302af,tomcat-sf,CWFIS-Hotspots,-5,Urban
SF11C46880212282050980,SF11E317768,34.921,-92.435,WF,353.1259447,2019-05-18T00:00:00.000-05:00,0,10,AR,5045,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7,8,9,12,80,40,0.019077256,0.257433304,0,4.093389362,6,6,6,6,40,80,13,30,4,14,5,19,5,8,134809904.4,1.560998,1.841973,19.584865,137.752775,0.922801,0.098846,0.318165,0.095692,4.573661,0.0,http://tomcat-sf/smartfire/events/5012c9fa-6c28-4274-825a-73a67d0a9538,0.0,[],[],5012c9fa-6c28-4274-825a-73a67d0a9538,tomcat-sf,CWFIS-Hotspots,-6,Urban
SF11C46880312282050980,SF11E317834,33.034,-84.956,WF,379.0794229,2019-05-18T00:00:00.000-04:00,0,10,GA,13285,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7,8,9,12,80,40,0.0067602,0.191396361,0,5.808420902,6,6,6,6,40,80,13,30,4,14,6,20,5,8,103718575.0,1.225369,1.44595,15.429067,105.301198,0.725754,0.072075,0.250547,0.073606,3.60153,0.0,http://tomcat-sf/smartfire/events/5ebe254a-7cf2-4933-8cf2-3e145bd0577d,0.0,[],[],5ebe254a-7cf2-4933-8cf2-3e145bd0577d,tomcat-sf,CWFIS-Hotspots,-5,Urban
SF11C46880412282050980,SF11E316757,58.313,-117.365,WF,21126.08181,2019-05-18T00:00:00.000-07:00,0,10,AB,CA01,2810001000,,,,,,,,,,,,7,8,9,12,80,40,4.742832151,3.186418307,0,14.58963406,6,6,6,6,40,80,13,30,4,14,4,21,5,8,1031310000000.0,1849.047089,2181.87556,21338.74026,259073.1462,1047.03444,303.601315,350.465498,164.163766,5037.941516,,http://tomcat-sf/smartfire/events/66310b34-f0da-41cf-8705-a40277e63f42,,[],[],66310b34-f0da-41cf-8705-a40277e63f42,tomcat-sf,CWFIS-Hotspots,-7,
SF11C46880512282050980,SF11E316757,58.28,-117.313,WF,2025.97254,2019-05-18T00:00:00.000-07:00,0,10,AB,CA01,2810001000,,,,,,,,,,,,7,8,9,12,80,40,8.131736807,3.01524241,0,15.06648108,6,6,6,6,40,80,13,30,4,14,4,21,5,8,144612000000.0,221.537157,261.413851,2466.462258,35688.31638,123.214882,45.415506,40.70947,22.131807,585.198633,,http://tomcat-sf/smartfire/events/66310b34-f0da-41cf-8705-a40277e63f42,,[],[],66310b34-f0da-41cf-8705-a40277e63f42,tomcat-sf,CWFIS-Hotspots,-7,
SF11C46880612282050980,SF11E316757,58.328,-117.371,WF,599.5246043,2019-05-18T00:00:00.000-07:00,0,10,AB,CA01,2810001000,,,,,,,,,,,,7,8,9,12,80,40,10.99356963,2.307999574,0,14.87894833,6,6,6,6,40,80,13,30,4,14,4,21,5,8,41204636602.0,70.995497,83.774683,763.970246,12800.61163,38.831618,17.20637,12.67046,7.815103,182.137898,,http://tomcat-sf/smartfire/events/66310b34-f0da-41cf-8705-a40277e63f42,,[],[],66310b34-f0da-41cf-8705-a40277e63f42,tomcat-sf,CWFIS-Hotspots,-7,
SF11C46880712282050980,SF11E316757,58.378,-117.469,WF,231.8985159,2019-05-18T00:00:00.000-07:00,0,10,AB,CA01,2810001000,,,,,,,,,,,,7,8,9,12,80,40,6.79120442,3.480632689,0,14.54020065,6,6,6,6,40,80,13,30,4,14,4,21,5,8,5105171873.0,24.889631,29.369762,282.674789,3722.492829,13.980992,4.544083,4.652762,2.334387,66.883551,,http://tomcat-sf/smartfire/events/66310b34-f0da-41cf-8705-a40277e63f42,,[],[],66310b34-f0da-41cf-8705-a40277e63f42,tomcat-sf,CWFIS-Hotspots,-7,
