id,event_id,latitude,longitude,type,area,date_time,elevation,slope,state,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,canopy,event_url,fccs_number,sf_cffeps_hourly_area,sf_cffeps_hourly_heat,sf_event_guid,sf_server,sf_stream_name,timezone,veg
SF11C47947519610729190,SF11E324838,59.864,-124.224,WF,2352.203535,2019-05-29T00:00:00.000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,12.70325257,0.659423167,0,9.99233058,6,6,6,6,40,80,13,30,4,14,3,21,5,8,245887000000.0,243.328608,287.12776,2471.343442,51454.83497,129.45011,73.719463,41.338068,30.803073,594.234654,,http://tomcat-sf/smartfire/events/1dfec47e-631c-4483-800d-1b7dfe69e9dd,,[],[],1dfec47e-631c-4483-800d-1b7dfe69e9dd,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47947619610729190,SF11E324838,59.836,-124.22,WF,488.9622437,2019-05-29T00:00:00.000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,14.0460066,0.25843165,0,9.713420146,6,6,6,6,40,80,13,30,4,14,3,21,5,8,34222296372.0,52.10042,61.478499,519.670956,11506.10791,27.482557,16.735196,8.716476,6.854435,125.299352,,http://tomcat-sf/smartfire/events/1dfec47e-631c-4483-800d-1b7dfe69e9dd,,[],[],1dfec47e-631c-4483-800d-1b7dfe69e9dd,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47949319610729190,SF11E326439,60.321,-126.224,WF,2859.785169,2019-05-29T00:00:00.000-08:00,0,10,YT,CA12,2810001000,,,,,,,,,,,,7,8,9,12,80,40,7.46222176,1.423247587,0,8.558082209,6,6,6,6,40,80,13,30,4,14,3,21,5,8,183034000000.0,223.052832,263.202345,2387.461842,40875.22876,121.68459,55.339317,39.62656,24.9023,569.631884,,http://tomcat-sf/smartfire/events/61a18122-0d16-41b9-a2e6-8c7d1dbbcd79,,[],[],61a18122-0d16-41b9-a2e6-8c7d1dbbcd79,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47950219610729190,SF11E325854,59.573,-128.619,WF,672.5936655,2019-05-29T00:00:00.000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,9.396552467,1.08211048,0,11.80626655,6,6,6,6,40,80,13,30,4,14,4,21,5,8,41060830035.0,58.115034,68.575744,606.708799,11440.09428,31.324698,15.955373,10.106771,6.90691,145.284915,,http://tomcat-sf/smartfire/events/f8c958eb-d5ee-4895-94ac-86effbdc6f39,,[],[],f8c958eb-d5ee-4895-94ac-86effbdc6f39,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47950619610729190,SF11E318980,58.943,-127.364,WF,514.7032112,2019-05-29T00:00:00.000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,3.324361852,2.735160197,0,11.52736694,6,6,6,6,40,80,13,30,4,14,4,21,5,8,10896893489.0,35.870965,42.327729,418.659985,4783.904465,20.428368,5.419045,6.86559,3.056484,98.692888,,http://tomcat-sf/smartfire/events/341df66b-7ea6-418f-a7bf-d293c5c7b2da,,[],[],341df66b-7ea6-418f-a7bf-d293c5c7b2da,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47954619610729190,SF11E325447,60.665,-120.255,WF,8617.389967,2019-05-29T00:00:00.000-08:00,0,10,NT,CA13,2810001000,,,,,,,,,,,,7,8,9,12,80,40,14.74764723,0.281435467,0,13.03666196,6,6,6,6,40,80,13,30,4,14,4,22,5,8,1077680000000.0,965.526079,1139.320773,9634.399633,213033.1118,509.402569,309.751394,161.588536,126.921476,2322.835243,,http://tomcat-sf/smartfire/events/b183b6f4-c3f7-4020-b648-11004fbb724a,,[],[],b183b6f4-c3f7-4020-b648-11004fbb724a,tomcat-sf,CWFIS-Hotspots,-7,
SF11C47954719610729190,SF11E325447,60.631,-120.292,WF,60.36784458,2019-05-29T00:00:00.000-08:00,0,10,NT,CA13,2810001000,,,,,,,,,,,,7,8,9,12,80,40,16.45642305,0.0,0,13.05159972,6,6,6,6,40,80,13,30,4,14,4,22,5,8,2233651026.0,7.232226,8.534035,71.328832,1638.874327,3.794934,2.40412,1.198489,0.973567,17.228198,,http://tomcat-sf/smartfire/events/b183b6f4-c3f7-4020-b648-11004fbb724a,,[],[],b183b6f4-c3f7-4020-b648-11004fbb724a,tomcat-sf,CWFIS-Hotspots,-7,
SF11C47956119610729190,SF11E326439,60.297,-126.229,WF,152.4541359,2019-05-29T00:00:00.000-08:00,0,10,YT,CA12,2810001000,,,,,,,,,,,,7,8,9,12,80,40,12.83650195,1.228568688,0,10.51763247,6,6,6,6,40,80,13,30,4,14,3,21,5,8,4969705072.0,17.36195,20.487105,179.866246,3489.344062,9.323922,4.90594,2.999686,2.101393,43.120571,,http://tomcat-sf/smartfire/events/61a18122-0d16-41b9-a2e6-8c7d1dbbcd79,,[],[],61a18122-0d16-41b9-a2e6-8c7d1dbbcd79,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47958219610729190,SF11E325447,60.684,-120.224,WF,894.1088132,2019-05-29T00:00:00.000-08:00,0,10,NT,CA13,2810001000,,,,,,,,,,,,7,8,9,12,80,40,12.11462036,1.525722444,0,13.08971659,6,6,6,6,40,80,13,30,4,14,4,22,5,8,79477764106.0,101.544103,119.822043,1064.359533,19769.57163,54.838951,27.451562,17.720023,11.952024,254.725229,,http://tomcat-sf/smartfire/events/b183b6f4-c3f7-4020-b648-11004fbb724a,,[],[],b183b6f4-c3f7-4020-b648-11004fbb724a,tomcat-sf,CWFIS-Hotspots,-7,
SF11C47958519610729190,SF11E324796,60.831,-137.625,WF,1327.642849,2019-05-28T00:00:00.000-09:00,0,10,YT,CA12,2810001000,,,,,,,,,,,,7,8,9,12,80,40,8.627466908,0.733504845,0,7.779564365,6,6,6,6,40,80,13,30,4,14,4,22,5,8,90020484073.0,99.583144,117.508099,1027.031058,20252.57294,53.364703,28.603337,17.139622,12.179439,246.382103,,http://tomcat-sf/smartfire/events/31c388b3-192c-4753-91fc-98b1e6850ba3,,[],[],31c388b3-192c-4753-91fc-98b1e6850ba3,tomcat-sf,CWFIS-Hotspots,-8,
