id,event_id,latitude,longitude,type,area,date_time,elevation,slope,state,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,canopy,event_url,fccs_number,sf_cffeps_hourly_area,sf_cffeps_hourly_heat,sf_event_guid,sf_server,sf_stream_name,timezone,veg
SF11C47407211715016140,SF11E322034,62.984,-141.08,WF,4725.949717,2019-05-23T00:00:00.000-09:00,0,10,Unknown,2240,2810001000,0.2,0.3,1.0,1.0,0.0,0.0,0.32,0.03,1.0,35.0,0.01,7,8,9,12,80,40,8.648646995,0.292763629,0,7.414040687,6,6,6,6,40,80,13,30,4,14,3,22,5,8,342307000000.0,320.568095,378.270338,3225.408925,69355.82109,169.788532,100.169227,54.028132,41.411565,776.65439,0.56,http://tomcat-sf/smartfire/events/42bddcb5-6c70-4263-acb3-014bd4118b07,88.0,[],[],42bddcb5-6c70-4263-acb3-014bd4118b07,tomcat-sf,CWFIS-Hotspots,-9,Black spruce / sphagnum moss forest
SF11C47408211715016140,SF11E322458,63.634,-137.901,WF,840.1780638,2019-05-23T00:00:00.000-09:00,0,10,YT,CA12,2810001000,,,,,,,,,,,,7,8,9,12,80,40,3.512931134,2.405997308,0,10.58529682,6,6,6,6,40,80,13,30,4,14,4,23,5,8,24524663038.0,55.107799,65.027211,636.666802,7685.123023,31.222486,8.978075,10.454996,4.873491,150.290597,,http://tomcat-sf/smartfire/events/6a3590ae-5281-4aa1-b5e5-0b6fb63299d9,,[],[],6a3590ae-5281-4aa1-b5e5-0b6fb63299d9,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47408311715016140,SF11E322515,63.055,-139.203,WF,649.8822099,2019-05-23T00:00:00.000-09:00,0,10,YT,CA12,2810001000,,,,,,,,,,,,7,8,9,12,80,40,4.086856638,1.584260369,0,8.551750384,6,6,6,6,40,80,13,30,4,14,4,23,5,8,18173778528.0,36.459518,43.022222,407.034927,5815.850733,20.305742,7.362316,6.715623,3.611849,96.537066,,http://tomcat-sf/smartfire/events/fc4363de-52b2-4d80-9191-e6544450e76f,,[],[],fc4363de-52b2-4d80-9191-e6544450e76f,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47415111715016140,SF11E322895,66.065,-134.754,WF,145.8860748,2019-05-24T00:00:00.000-08:00,0,10,YT,CA12,2810001000,,,,,,,,,,,,7,8,9,12,80,40,1.561313531,0.0,0,0.44608958,6,6,6,6,40,80,13,30,4,14,3,23,5,8,561716015.0,1.658189,1.956664,16.354136,375.757962,0.870088,0.551204,0.274792,0.223225,3.950044,,http://tomcat-sf/smartfire/events/70c3b3f4-856f-44bb-a6f4-6e2e6fe390c0,,[],[],70c3b3f4-856f-44bb-a6f4-6e2e6fe390c0,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47416111715016140,SF11E320070,58.207,-120.493,WF,74.60605663,2019-05-24T00:00:00.000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,8.322747048,1.557334193,0,11.72236429,6,6,6,6,40,80,13,30,4,14,3,21,5,8,1500713738.0,6.452763,7.614253,68.995607,1186.198929,3.51846,1.608144,1.145353,0.722371,16.464354,,http://tomcat-sf/smartfire/events/7f4d5e0e-4698-4223-b7c9-c2ac9fdf2159,,[],[],7f4d5e0e-4698-4223-b7c9-c2ac9fdf2159,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47416211715016140,SF11E322881,64.231,-134.736,WF,76.22706793,2019-05-24T00:00:00.000-08:00,0,10,YT,CA12,2810001000,,,,,,,,,,,,7,8,9,12,80,40,3.902608967,2.65713831,0,10.87923268,6,6,6,6,40,80,13,30,4,14,3,23,5,8,813762187.1,5.534428,6.530625,63.918274,772.922355,3.135117,0.903822,1.049682,0.490031,15.089136,,http://tomcat-sf/smartfire/events/e33cf42a-37ef-43d6-8b50-414c450ac541,,[],[],e33cf42a-37ef-43d6-8b50-414c450ac541,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47417811715016140,SF11E320765,65.354,-154.622,WF,134.9491907,2019-05-23T00:00:00.000-10:00,0,10,Unknown,2290,2810001000,0.2,0.5,0.5,0.0,0.0,0.0,1.38,0.04,0.0,0.4,0.01,7,8,9,12,80,40,1.548112756,2.963860303,0,13.15014091,6,6,6,6,40,80,13,30,4,14,3,23,5,8,786945429.4,8.173218,9.644381,99.041895,901.839378,4.744969,0.868745,1.616159,0.596707,23.232281,0.0,http://tomcat-sf/smartfire/events/7f140561-ae6f-4657-8199-4eab18f182cf,326.0,[],[],7f140561-ae6f-4657-8199-4eab18f182cf,tomcat-sf,CWFIS-Hotspots,-9,Willow - Birch shrubland
SF11C47418211715016140,SF11E322855,63.602,-141.637,WF,134.9491907,2019-05-23T00:00:00.000-09:00,0,10,Unknown,2240,2810001000,0.2,0.3,1.0,1.0,0.0,0.0,0.22,0.82,1.0,20.0,0.2,7,8,9,12,80,40,7.276682148,0.580338238,0,8.483642419,6,6,6,6,40,80,13,30,4,14,3,22,5,8,2443294314.0,8.451385,9.972637,86.962182,1729.078443,4.523995,2.447512,1.451769,1.039088,20.869134,0.56,http://tomcat-sf/smartfire/events/1e7855a3-0990-49ad-adc8-a278849fb1b5,89.0,[],[],1e7855a3-0990-49ad-adc8-a278849fb1b5,tomcat-sf,CWFIS-Hotspots,-9,Black spruce / cottonsedge woodland
SF11C47418311715016140,SF11E322996,63.367,-141.546,WF,270.1257183,2019-05-23T00:00:00.000-09:00,0,10,Unknown,2240,2810001000,0.3,0.5,1.5,2.0,0.0,0.0,0.7,0.02,0.5,5.0,0.01,7,8,9,12,80,40,7.374927686,0.959966162,0,8.15135029,6,6,6,6,40,80,13,30,4,14,3,22,5,8,6431219398.0,18.815765,22.202608,197.523373,3647.70134,10.168924,5.056478,3.287727,2.20644,47.26119,9.69,http://tomcat-sf/smartfire/events/f0432935-18f8-478f-b1d4-f964ad7f9dbc,101.0,[],[],f0432935-18f8-478f-b1d4-f964ad7f9dbc,tomcat-sf,CWFIS-Hotspots,-9,White spruce forest
SF11C47422011715016140,SF11E322942,63.674,-135.433,WF,67.94409556,2019-05-23T00:00:00.000-09:00,0,10,YT,CA12,2810001000,,,,,,,,,,,,7,8,9,12,80,40,2.094512814,3.201061202,0,13.38884344,6,6,6,6,40,80,13,30,4,14,4,22,5,8,465092976.4,4.653341,5.490947,55.917347,537.752267,2.689833,0.541869,0.913459,0.352605,13.130897,,http://tomcat-sf/smartfire/events/8b2052eb-51c0-4dea-8e0f-36dd4a44135b,,[],[],8b2052eb-51c0-4dea-8e0f-36dd4a44135b,tomcat-sf,CWFIS-Hotspots,-8,
