id,event_id,latitude,longitude,type,area,date_time,elevation,slope,state,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,canopy,event_url,fccs_number,sf_cffeps_hourly_area,sf_cffeps_hourly_heat,sf_event_guid,sf_server,sf_stream_name,timezone,veg
SF11C4699266141356640,SF11E318942,54.019,-128.683,WF,41.80528836,2019-05-20T00:00:00.000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,0.66378462,1.364339352,0,6.196719577,6,6,6,6,40,80,13,30,4,14,4,21,5,8,90126788.6,1.150652,1.357764,13.97692,125.234907,0.668836,0.118946,0.228005,0.08309,3.277553,,http://tomcat-sf/smartfire/events/1256715c-8632-4f83-a9d6-2f9c4661f3c8,,[],[],1256715c-8632-4f83-a9d6-2f9c4661f3c8,tomcat-sf,CWFIS-Hotspots,-8,
SF11C4699946141356640,SF11E318980,58.99,-127.386,WF,56.35732424,2019-05-20T00:00:00.000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,3.774564589,1.982442258,0,9.440839135,6,6,6,6,40,80,13,30,4,14,4,21,5,8,535034051.2,3.40685,4.02008,38.74929,506.57291,1.915115,0.616239,0.637674,0.317958,9.166581,,http://tomcat-sf/smartfire/events/341df66b-7ea6-418f-a7bf-d293c5c7b2da,,[],[],341df66b-7ea6-418f-a7bf-d293c5c7b2da,tomcat-sf,CWFIS-Hotspots,-8,
SF11C4700036141356640,SF11E318931,56.797,-131.548,WF,20.58140718,2019-05-20T00:00:00.000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,0.0,0.0,0,10.89431051,6,6,6,6,40,80,13,30,4,14,4,21,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,http://tomcat-sf/smartfire/events/ddcba50b-2c3a-480c-916b-d4bbd0897018,,[],[],ddcba50b-2c3a-480c-916b-d4bbd0897018,tomcat-sf,CWFIS-Hotspots,-8,
SF11C4700066141356640,SF11E318949,50.72,-127.501,WF,20.90264418,2019-05-20T00:00:00.000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,0.065020784,0.526529687,0,5.381847741,6,6,6,6,40,80,13,30,4,14,5,20,5,8,5656143.052,0.192938,0.227679,2.410127,17.574156,0.113807,0.013287,0.039172,0.012126,0.563147,,http://tomcat-sf/smartfire/events/8cfdf24d-42a3-496d-8183-055eb5343cb3,,[],[],8cfdf24d-42a3-496d-8183-055eb5343cb3,tomcat-sf,CWFIS-Hotspots,-8,
SF11C4704506141356870,SF11E319508,47.67,-97.371,WF,6.988140175,2019-05-20T00:00:00.000-05:00,0,10,ND,38097,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7,8,9,12,80,40,0.291110881,0.1549787,0,0.68357429,6,6,6,6,40,80,13,30,4,14,5,20,5,8,902900.8233,0.032818,0.038736,0.373632,4.864753,0.018451,0.005905,0.00615,0.003049,0.088373,0.0,http://tomcat-sf/smartfire/events/27e9371c-2e8c-475e-a190-038ebc74a142,0.0,[],[],27e9371c-2e8c-475e-a190-038ebc74a142,tomcat-sf,CWFIS-Hotspots,-6,Urban
SF11C4704516141356870,SF11E319663,47.086,-97.254,WF,34.94070087,2019-05-20T00:00:00.000-05:00,0,10,ND,38017,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7,8,9,12,80,40,0.33246709,0.11362249,0,0.598544263,6,6,6,6,40,80,13,30,4,14,5,20,5,8,23630230.92,0.150597,0.177706,1.668258,24.694484,0.083549,0.031715,0.027554,0.015277,0.396104,0.0,http://tomcat-sf/smartfire/events/911836a9-f972-4e18-b07f-865f98d8e570,0.0,[],[],911836a9-f972-4e18-b07f-865f98d8e570,tomcat-sf,CWFIS-Hotspots,-6,Urban
SF11C4704526141356870,SF11E319602,47.282,-97.273,WF,62.89326157,2019-05-20T00:00:00.000-05:00,0,10,ND,38097,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7,8,9,12,80,40,0.317462446,0.128627134,0,0.626840617,6,6,6,6,40,80,13,30,4,14,5,20,5,8,49742691.1,0.279906,0.330288,3.133391,44.207882,0.156101,0.055658,0.051672,0.027499,0.742868,0.0,http://tomcat-sf/smartfire/events/a035d289-1409-4f78-8a90-dd3872249e1b,0.0,[],[],a035d289-1409-4f78-8a90-dd3872249e1b,tomcat-sf,CWFIS-Hotspots,-6,Urban
SF11C4704536141356870,SF11E319683,47.367,-96.943,WF,13.97628035,2019-05-20T00:00:00.000-05:00,0,10,ND,38097,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7,8,9,12,80,40,0.340491361,0.105598219,0,0.584437572,6,6,6,6,40,80,13,30,4,14,5,20,5,8,3993988.84,0.059197,0.069845,0.651794,9.906566,0.03275,0.01286,0.010777,0.006116,0.154878,0.0,http://tomcat-sf/smartfire/events/1dcdebef-dc8e-4813-b732-b2e6afa267fa,0.0,[],[],1dcdebef-dc8e-4813-b732-b2e6afa267fa,tomcat-sf,CWFIS-Hotspots,-6,Urban
SF11C4704546141356870,SF11E319517,47.455,-97.109,WF,13.97628035,2019-05-20T00:00:00.000-05:00,0,10,ND,38097,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7,8,9,12,80,40,0.321563035,0.124526545,0,0.618840001,6,6,6,6,40,80,13,30,4,14,5,20,5,8,3845994.907,0.06167,0.072762,0.688391,9.838697,0.034344,0.012454,0.01136,0.006109,0.163259,0.0,http://tomcat-sf/smartfire/events/1af705cc-5fab-450c-bf54-7f180c47718f,0.0,[],[],1af705cc-5fab-450c-bf54-7f180c47718f,tomcat-sf,CWFIS-Hotspots,-6,Urban
SF11C4704556141356870,SF11E319531,47.444,-97.276,WF,20.96442052,2019-05-20T00:00:00.000-05:00,0,10,ND,38097,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7,8,9,12,80,40,0.309997724,0.136091856,0,0.641927367,6,6,6,6,40,80,13,30,4,14,5,20,5,8,8451991.771,0.094772,0.111818,1.066111,14.695841,0.052987,0.018322,0.017574,0.009161,0.252588,0.0,http://tomcat-sf/smartfire/events/5362976f-9eff-4790-b5f3-856fb06b5221,0.0,[],[],5362976f-9eff-4790-b5f3-856fb06b5221,tomcat-sf,CWFIS-Hotspots,-6,Urban
