id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
SF11C47947519610729190,SF11E324838,59.864,-124.224,-8.0,,WF,20190529,,,,245886982493.1779,243.328882,287.12808,2471.346234,51454.888584,129.450258,41.33811,30.803099,594.235328,73.719537,54935.72841879474,29880.635601151836,1551.0975044782954,,2352.203535,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,21.0,5.0,8.0,BC,,
SF11C47947619610729190,SF11E324838,59.836,-124.22,-8.0,,WF,20190529,,,,34222296370.67305,52.100478,61.478564,519.671534,11506.119773,27.482589,8.716486,6.854444,125.299483,16.735218,11743.825930177043,6867.966902161008,126.3633194270931,,488.9622437,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,21.0,5.0,8.0,BC,,
SF11C47949319610729190,SF11E326439,60.321,-126.224,-8.0,,WF,20190529,,,,183034281404.82074,223.053053,263.202603,2387.464221,40875.269631,121.684715,39.626606,24.902325,569.632454,55.339378,49884.81003453568,21340.35111703708,4070.182341117638,,2859.785169,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,21.0,5.0,8.0,YT,,
SF11C47950219610729190,SF11E325854,59.573,-128.619,-8.0,,WF,20190529,,,,41060830036.31722,58.115154,68.575882,606.710013,11440.117161,31.324765,10.106797,6.906924,145.285206,15.955409,14988.702415796302,6320.061666842597,727.8206542191646,,672.5936655,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,BC,,
SF11C47950619610729190,SF11E318980,58.943,-127.364,-8.0,,WF,20190529,,,,10896893486.977858,35.870972,42.327747,418.660112,4783.90729,20.428376,6.865594,3.056478,98.692914,5.419043,9052.028237656223,1711.0597204151793,1407.7957365423247,,514.7032112,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,BC,,
SF11C47954619610729190,SF11E325447,60.665,-120.255,-8.0,,WF,20190529,,,,1077678026319.5809,965.524231,1139.318593,9634.381385,213032.692445,509.401601,161.588232,126.921231,2322.830837,309.750779,241853.46642361564,127086.22727665733,2425.2391696837594,,8617.389967,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,NT,,
SF11C47954719610729190,SF11E325447,60.631,-120.292,-8.0,,WF,20190529,,,,2233651025.6121917,7.232234,8.534037,71.328905,1638.875965,3.794936,1.198485,0.97357,17.228215,2.404122,1781.3357324424614,993.4387890251297,,,60.36784458,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,NT,,
SF11C47956119610729190,SF11E326439,60.297,-126.229,-8.0,,WF,20190529,,,,4969705073.841178,17.361979,20.487135,179.866573,3489.350787,9.323936,2.999697,2.101393,43.12065,4.905955,3747.734760416385,1956.9778127659151,187.3003777228367,,152.4541359,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,21.0,5.0,8.0,YT,,
SF11C47958219610729190,SF11E325447,60.684,-120.224,-8.0,,WF,20190529,,,,79477764101.9367,101.544154,119.822102,1064.360027,19769.58759,54.838978,17.720024,11.952031,254.725349,27.451587,23899.58168153485,10831.788832448157,1364.1618836774433,,894.1088132,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,NT,,
SF11C47958519610729190,SF11E324796,60.831,-137.625,-9.0,,WF,20190528,,,,90020484078.81487,99.583324,117.508322,1027.032912,20252.612086,53.364805,17.139655,12.179467,246.382547,28.603392,22756.51020508892,11454.194745390343,973.8324621711034,,1327.642849,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,YT,,
SF11C47959419610729190,SF11E318980,58.99,-127.39,-8.0,,WF,20190529,,,,13586844824.96285,33.20787,39.185287,356.779587,6016.544057,18.149364,5.918544,3.67091,85.079065,8.104824,8010.578992806329,3110.855517921909,634.971418191814,,397.7161107,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,BC,,
SF11C47961119610729190,SF11E327098,58.263,-130.864,-8.0,,WF,20190529,,,,513578522.535471,3.726199,4.396914,42.330655,556.685162,2.093369,0.696727,0.349157,10.015456,0.679113,896.0056407657631,235.190250943278,121.09267229083048,,37.30302832,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,BC,,
SF11C47972319610729190,SF11E326986,52.406,-121.116,-8.0,,WF,20190529,,,,78275215.30380198,0.944605,1.114634,10.741574,140.575288,0.530939,0.176773,0.088223,2.541118,0.171095,227.16014932690797,59.096148849738796,30.927423443023986,,20.90264418,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,20.0,5.0,8.0,BC,,
SF11C47972419610729190,SF11E326992,49.826,-123.022,-8.0,,WF,20190529,,,,17523635.156373,0.45804,0.540487,5.595233,48.232613,0.267024,0.091208,0.032218,1.311112,0.044198,146.77573318773358,9.488706647024468,23.386360058005856,,19.05429593,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,20.0,5.0,8.0,BC,,
